version 13166
stamp 2013-04-24 13:17:07.093096
last_osdmap_epoch 97
last_pg_scan 87
full_ratio 0.95
nearfull_ratio 0.85
pg_stat	objects	mip	degr	unf	bytes	log	disklog	state	state_stamp	v	reported	up	acting	last_scrub	scrub_stamp	last_deep_scrub	deep_scrub_stamp
2.10	0	0	0	0	0	0	0	active+clean	2013-04-23 19:41:29.867481	0'0	93'113	[1,0]	[1,0]	0'0	2013-04-23 19:41:29.867449	0'0	2013-04-18 19:21:06.001085
0.12	0	0	0	0	0	560	560	active+clean	2013-04-23 18:05:08.575416	40'4	93'126	[1,0]	[1,0]	40'4	2013-04-23 18:05:08.575373	40'4	2013-04-18 18:04:09.958377
1.13	0	0	0	0	0	0	0	active+clean	2013-04-23 18:56:11.247474	0'0	93'114	[1,0]	[1,0]	0'0	2013-04-23 18:56:11.247447	0'0	2013-04-18 18:43:45.498414
2.13	0	0	0	0	0	0	0	active+clean	2013-04-23 19:40:19.580034	0'0	91'151	[0,1]	[0,1]	0'0	2013-04-23 19:40:19.579992	0'0	2013-04-18 19:18:42.853309
0.11	0	0	0	0	0	560	560	active+clean	2013-04-23 18:04:59.645898	40'4	93'126	[1,0]	[1,0]	40'4	2013-04-23 18:04:59.645860	40'4	2013-04-18 18:04:08.957727
1.10	0	0	0	0	0	0	0	active+clean	2013-04-23 18:54:47.254209	0'0	93'114	[1,0]	[1,0]	0'0	2013-04-23 18:54:47.254184	0'0	2013-04-18 18:43:37.496455
2.12	0	0	0	0	0	0	0	active+clean	2013-04-23 19:41:31.856158	0'0	93'114	[1,0]	[1,0]	0'0	2013-04-23 19:41:31.856128	0'0	2013-04-18 19:21:15.003137
0.10	0	0	0	0	0	560	560	active+clean	2013-04-23 18:03:52.584854	40'4	93'126	[1,0]	[1,0]	40'4	2013-04-23 18:03:52.584811	40'4	2013-04-18 18:03:32.947797
1.11	0	0	0	0	0	0	0	active+clean	2013-04-23 18:55:25.236190	0'0	93'113	[1,0]	[1,0]	0'0	2013-04-23 18:55:25.236165	0'0	2013-04-18 18:43:38.496429
9.6	0	0	0	0	0	0	0	active+clean	2013-04-24 12:04:53.051098	0'0	93'46	[1,0]	[1,0]	0'0	2013-04-24 12:04:53.051072	0'0	2013-04-18 12:01:40.169579
8.7	0	0	0	0	0	0	0	active+clean	2013-04-24 11:23:20.500386	0'0	93'50	[1,0]	[1,0]	0'0	2013-04-24 11:23:20.500363	0'0	2013-04-18 11:09:26.332959
